topic,day,mentions,rolling_7d_mentions,rolling_21d_mentions
running,2026-04-30,0.0,0.42857142857142855,0.3076923076923077
running,2026-05-01,1.0,0.5714285714285714,0.35714285714285715
running,2026-05-02,0.0,0.5714285714285714,0.3333333333333333
running,2026-05-03,0.0,0.2857142857142857,0.3125
running,2026-05-04,0.0,0.2857142857142857,0.29411764705882354
running,2026-05-05,20.0,3.0,1.3888888888888888
running,2026-05-06,10.0,4.428571428571429,1.8421052631578947
swimming,2026-04-08,1.0,1.0,1.0
swimming,2026-04-09,0.0,0.5,0.5
swimming,2026-04-10,0.0,0.3333333333333333,0.3333333333333333
swimming,2026-04-11,0.0,0.25,0.25
swimming,2026-04-12,0.0,0.2,0.2
swimming,2026-04-13,0.0,0.16666666666666666,0.16666666666666666
swimming,2026-04-14,0.0,0.14285714285714285,0.14285714285714285
swimming,2026-04-15,1.0,0.14285714285714285,0.25
swimming,2026-04-16,0.0,0.14285714285714285,0.2222222222222222
swimming,2026-04-17,0.0,0.14285714285714285,0.2
swimming,2026-04-18,0.0,0.14285714285714285,0.18181818181818182
swimming,2026-04-19,0.0,0.14285714285714285,0.16666666666666666
swimming,2026-04-20,0.0,0.14285714285714285,0.15384615384615385
swimming,2026-04-21,0.0,0.14285714285714285,0.14285714285714285
swimming,2026-04-22,0.0,0.0,0.13333333333333333
swimming,2026-04-23,1.0,0.14285714285714285,0.1875
swimming,2026-04-24,0.0,0.14285714285714285,0.17647058823529413
swimming,2026-04-25,0.0,0.14285714285714285,0.16666666666666666
swimming,2026-04-26,0.0,0.14285714285714285,0.15789473684210525
swimming,2026-04-27,0.0,0.14285714285714285,0.15
swimming,2026-04-28,0.0,0.14285714285714285,0.14285714285714285
swimming,2026-04-29,0.0,0.14285714285714285,0.09523809523809523
swimming,2026-04-30,1.0,0.14285714285714285,0.14285714285714285
swimming,2026-05-01,1.0,0.2857142857142857,0.19047619047619047
swimming,2026-05-02,1.0,0.42857142857142855,0.23809523809523808
swimming,2026-05-03,0.0,0.42857142857142855,0.23809523809523808
swimming,2026-05-04,0.0,0.42857142857142855,0.23809523809523808
swimming,2026-05-05,17.0,2.857142857142857,1.0476190476190477
swimming,2026-05-06,10.0,4.285714285714286,1.4761904761904763
