topic,day,mentions,rolling_7d_mentions,rolling_21d_mentions
Sustainable fashion,2026-03-29,0.0,1.0,0.7619047619047619
Sustainable fashion,2026-03-30,0.0,1.0,0.7619047619047619
Sustainable fashion,2026-03-31,1.0,0.7142857142857143,0.8095238095238095
Sustainable fashion,2026-04-01,4.0,1.1428571428571428,1.0
Sustainable fashion,2026-04-02,1.0,1.1428571428571428,1.0476190476190477
Sustainable fashion,2026-04-03,1.0,1.0,1.0476190476190477
Sustainable fashion,2026-04-04,1.0,1.1428571428571428,1.0952380952380953
Sustainable fashion,2026-04-05,1.0,1.2857142857142858,1.0476190476190477
Sustainable fashion,2026-04-06,0.0,1.2857142857142858,1.0
Sustainable fashion,2026-04-07,0.0,1.1428571428571428,0.9523809523809523
Sustainable fashion,2026-04-08,0.0,0.5714285714285714,0.9047619047619048
Sustainable fashion,2026-04-09,0.0,0.42857142857142855,0.9047619047619048
Sustainable fashion,2026-04-10,1.0,0.42857142857142855,0.8571428571428571
Sustainable fashion,2026-04-11,0.0,0.2857142857142857,0.8095238095238095
Sustainable fashion,2026-04-12,1.0,0.2857142857142857,0.8571428571428571
Sustainable fashion,2026-04-13,1.0,0.42857142857142855,0.9047619047619048
Sustainable fashion,2026-04-14,2.0,0.7142857142857143,0.8571428571428571
Sustainable fashion,2026-04-15,1.0,0.8571428571428571,0.8571428571428571
Sustainable fashion,2026-04-16,0.0,0.8571428571428571,0.8095238095238095
Sustainable fashion,2026-04-17,0.0,0.7142857142857143,0.7142857142857143
Sustainable fashion,2026-04-18,0.0,0.7142857142857143,0.7142857142857143
Sustainable fashion,2026-04-19,0.0,0.5714285714285714,0.7142857142857143
Sustainable fashion,2026-04-20,1.0,0.5714285714285714,0.7619047619047619
Sustainable fashion,2026-04-21,1.0,0.42857142857142855,0.7619047619047619
Sustainable fashion,2026-04-22,0.0,0.2857142857142857,0.5714285714285714
Sustainable fashion,2026-04-23,2.0,0.5714285714285714,0.6190476190476191
Sustainable fashion,2026-04-24,1.0,0.7142857142857143,0.6190476190476191
Sustainable fashion,2026-04-25,1.0,0.8571428571428571,0.6190476190476191
Sustainable fashion,2026-04-26,0.0,0.8571428571428571,0.5714285714285714
Sustainable fashion,2026-04-27,0.0,0.7142857142857143,0.5714285714285714
Sustainable fashion,2026-04-28,0.0,0.5714285714285714,0.5714285714285714
Sustainable fashion,2026-04-29,1.0,0.7142857142857143,0.6190476190476191
